geo,pib_millones,poblacion,salud_mio,cultura_mio,educacion_mio,pib_per_capita
LU,76731.2,645397.0,967.0,284.8,2539.6,118889.923566425
IE,520718.4,5154277.0,10238.1,491.7,8923.4,101026.46792168911
DK,380567.4,5873420.0,15320.3,2046.7,10704.3,64794.85546751296
NL,993820.0,17590672.0,2447.0,2790.0,28857.0,56496.988858640536
SE,547190.4,10452326.0,14812.8,1836.7,16699.9,52351.065207878135
AT,449382.2,8978929.0,11470.9,1466.3,13487.3,50048.5302868527
BE,561678.2,11617623.0,1859.5,2325.5,28251.1,48347.08442510142
FI,266135.0,5548241.0,8128.0,1097.0,7491.0,47967.454910484244
DE,3989390.0,83237124.0,15957.0,12348.0,97636.0,47928.01346668345
FR,2653997.2,68091703.0,64323.6,13437.7,93150.7,38976.80749738334
MT,17984.8,520174.0,489.0,57.3,465.3,34574.58465821052
IT,1998072.6,59030133.0,41456.0,2831.0,59006.0,33848.349960519314
CY,29645.4,929764.0,416.3,66.6,1068.1,31884.865406705358
ES,1375863.0,47486843.0,41046.0,5099.0,39120.0,28973.562213853635
CZ,286976.8,10516707.0,5811.8,937.5,8655.1,27287.705172351
